Freq (Hz)	Amplitude
4.065311562812395252e+00	1.491728995489061793e+00
4.098633788737086725e+00	1.535938950100502076e+00
4.131956014661779086e+00	1.326502534713604797e+00
4.165278240586470559e+00	7.750169089133454037e-01
4.198600466511162033e+00	5.574821729375307733e-01
4.231922692435854394e+00	6.627192154370287192e-01
4.265244918360545867e+00	8.603366221923750556e-01
4.298567144285237340e+00	1.735277154951000878e+00
4.331889370209929702e+00	1.145378232359109738e+00
4.365211596134621175e+00	1.551043389441236986e+00
4.398533822059312648e+00	2.228016741403156864e+00
4.431856047984005009e+00	8.375662731644933912e-01
4.465178273908696482e+00	8.747523924752569346e-01
4.498500499833387956e+00	6.584880986336446584e-01
4.531822725758080317e+00	8.466630057154158617e-01
4.565144951682771790e+00	8.975869872840105401e-01
4.598467177607463263e+00	1.039418805206587137e+00
4.631789403532155625e+00	6.943431817559170272e-01
4.665111629456847098e+00	1.574833116579032466e-01
4.698433855381538571e+00	3.727210042448396710e-01
4.731756081306230932e+00	7.436008554138419102e-01
4.765078307230922405e+00	1.072060965448609737e+00
4.798400533155613878e+00	1.338249920452098785e+00
4.831722759080306240e+00	8.126900792299859289e-01
4.865044985004997713e+00	1.304544032160765532e+00
4.898367210929689186e+00	2.021067146325330466e-01
4.931689436854381547e+00	4.817072982439674078e-01
4.965011662779073021e+00	7.840482518922682331e-01
4.998333888703764494e+00	2.844205808750452924e-01
5.031656114628456855e+00	5.226866820194266960e-01
5.064978340553148328e+00	5.934154805802273058e-01
5.098300566477839801e+00	6.082425556105646169e-01
5.131622792402532163e+00	6.579060542332215711e-01
5.164945018327223636e+00	8.715961434079583237e-01
5.198267244251915109e+00	1.249240692595980473e+00
5.231589470176607470e+00	1.683593588165466448e+00
5.264911696101298944e+00	1.802097528396591875e+00
5.298233922025990417e+00	1.342763178215883535e+00
5.331556147950681890e+00	5.265192364417574655e-01
5.364878373875374251e+00	4.637671613420919492e-01
5.398200599800065724e+00	1.258684892727801596e-01
5.431522825724757197e+00	3.107845839734471038e-01
5.464845051649449559e+00	8.267221636805210938e-01
5.498167277574141032e+00	1.015722574105977216e+00
5.531489503498832505e+00	1.365909258136043247e+00
5.564811729423524866e+00	8.086962641125281515e-01
5.598133955348216340e+00	1.276478021956638731e+00
5.631456181272907813e+00	8.493886910153587433e-01
5.664778407197600174e+00	5.083069777351580942e-01
5.698100633122291647e+00	5.369009545262347638e-01
5.731422859046983120e+00	8.026974776106596821e-01
5.764745084971675482e+00	1.030298443780108153e+00
5.798067310896366955e+00	9.029047196828126065e-01
5.831389536821058428e+00	5.567725183794725030e-01
5.864711762745750789e+00	2.348243655126891483e-02
5.898033988670442263e+00	1.009584779200680682e-01
5.931356214595133736e+00	7.003110763288593610e-01
5.964678440519826097e+00	5.427714893968479393e-01
5.998000666444517570e+00	5.549351874134849094e-01
6.031322892369209043e+00	1.844924999456333925e+00
6.064645118293901405e+00	1.071294016693003393e+00
6.097967344218592878e+00	3.029286155237009837e-01
