Posición angular-canales 1 y 2, Ensayo #1
Tiempo ( s )	Posición angular ( rad )
12,3700	2,19039
12,3800	2,18602
12,3900	2,17293
12,4000	2,16421
12,4100	2,15112
12,4200	2,12930
12,4300	2,11185
12,4400	2,09003
12,4500	2,06385
12,4600	2,03767
12,4700	2,00713
12,4800	1,98095
12,4900	1,95041
12,5000	1,91114
12,5100	1,87623
12,5200	1,83260
12,5300	1,78460
12,5400	1,73224
12,5500	1,67988
12,5600	1,63625
12,5700	1,57952
12,5800	1,52280
12,5900	1,47044
12,6000	1,40935
12,6100	1,35263
12,6200	1,29591
12,6300	1,23046
12,6400	1,16937
12,6500	1,10392
12,6600	1,03847
12,6700	0,968658
12,6800	0,898845
12,6900	0,833395
12,7000	0,759218
12,7100	0,689405
12,7200	0,615229
12,7300	0,545415
12,7400	0,471239
12,7500	0,397062
12,7600	0,327249
12,7700	0,244346
12,7800	0,170170
12,7900	0,100356
12,8000	0,0218166
12,8100	-0,0567232
12,8200	-0,126536
12,8300	-0,205076
12,8400	-0,279253
12,8500	-0,353429
12,8600	-0,427606
12,8700	-0,493056
12,8800	-0,562869
12,8900	-0,645772
12,9000	-0,715585
12,9100	-0,781035
12,9200	-0,855211
12,9300	-0,920661
12,9400	-0,986111
12,9500	-1,04283
12,9600	-1,11265
12,9700	-1,17373
12,9800	-1,24355
12,9900	-1,30900
13,0000	-1,36572
13,0100	-1,41808
13,0200	-1,47480
13,0300	-1,52716
13,0400	-1,57952
13,0500	-1,63625
13,0600	-1,67988
13,0700	-1,72351
13,0800	-1,76715
13,0900	-1,81078
13,1000	-1,85005
13,1100	-1,88496
13,1200	-1,92423
13,1300	-1,95477
13,1400	-1,98531
13,1500	-2,01586
13,1600	-2,03767
13,1700	-2,06385
13,1800	-2,08131
13,1900	-2,10312
13,2000	-2,11621
13,2100	-2,12930
